阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,二氧化碳 / 实验 / 注入 / 模拟,856,13825,0.061917
2011-2015,头部引领型,T02,储层 / 孔隙 / 渗透率 / 裂缝,1891,13825,0.136781
2011-2015,头部引领型,T03,油田 / 钻井 / 储层 / 地层,567,13825,0.041013
2011-2015,头部引领型,T04,钻井 / 裂缝 / 水平 / 水力压裂,1710,13825,0.123689
2011-2015,头部引领型,T05,产品 / 催化剂 / 收率 / 汽油,750,13825,0.05425
2011-2015,头部引领型,T06,水合物 / 地层 / 颗粒 / 浓度,737,13825,0.053309
2011-2015,头部引领型,T07,地震 / 速度 / 频率 / 反演,1055,13825,0.076311
2011-2015,头部引领型,T08,储层 / 地震 / 预测 / 测井,1155,13825,0.083544
2011-2015,头部引领型,T09,盆地 / 构造 / 地层 / 沉积,1837,13825,0.132875
2011-2015,头部引领型,T10,岩石 / 成藏 / 储层 / 地层,1260,13825,0.091139
2011-2015,头部引领型,T11,驱替 / 注入 / 储层 / 页岩,1248,13825,0.090271
2011-2015,头部引领型,T12,催化剂 / 地层 / 吸附 / 活性,759,13825,0.054901
2011-2015,中坚创新型,T01,二氧化碳 / 实验 / 注入 / 模拟,403,1790,0.22514
2011-2015,中坚创新型,T02,储层 / 孔隙 / 渗透率 / 裂缝,116,1790,0.064804
2011-2015,中坚创新型,T03,油田 / 钻井 / 储层 / 地层,3,1790,0.001676
2011-2015,中坚创新型,T04,钻井 / 裂缝 / 水平 / 水力压裂,48,1790,0.026816
2011-2015,中坚创新型,T05,产品 / 催化剂 / 收率 / 汽油,131,1790,0.073184
2011-2015,中坚创新型,T06,水合物 / 地层 / 颗粒 / 浓度,172,1790,0.096089
2011-2015,中坚创新型,T07,地震 / 速度 / 频率 / 反演,93,1790,0.051955
2011-2015,中坚创新型,T08,储层 / 地震 / 预测 / 测井,91,1790,0.050838
2011-2015,中坚创新型,T09,盆地 / 构造 / 地层 / 沉积,88,1790,0.049162
2011-2015,中坚创新型,T10,岩石 / 成藏 / 储层 / 地层,46,1790,0.025698
2011-2015,中坚创新型,T11,驱替 / 注入 / 储层 / 页岩,44,1790,0.024581
2011-2015,中坚创新型,T12,催化剂 / 地层 / 吸附 / 活性,555,1790,0.310056
2011-2015,特色细分型,T01,二氧化碳 / 实验 / 注入 / 模拟,399,5902,0.067604
2011-2015,特色细分型,T02,储层 / 孔隙 / 渗透率 / 裂缝,818,5902,0.138597
2011-2015,特色细分型,T03,油田 / 钻井 / 储层 / 地层,315,5902,0.053372
2011-2015,特色细分型,T04,钻井 / 裂缝 / 水平 / 水力压裂,376,5902,0.063707
2011-2015,特色细分型,T05,产品 / 催化剂 / 收率 / 汽油,236,5902,0.039986
2011-2015,特色细分型,T06,水合物 / 地层 / 颗粒 / 浓度,252,5902,0.042697
2011-2015,特色细分型,T07,地震 / 速度 / 频率 / 反演,431,5902,0.073026
2011-2015,特色细分型,T08,储层 / 地震 / 预测 / 测井,524,5902,0.088783
2011-2015,特色细分型,T09,盆地 / 构造 / 地层 / 沉积,1073,5902,0.181803
2011-2015,特色细分型,T10,岩石 / 成藏 / 储层 / 地层,498,5902,0.084378
2011-2015,特色细分型,T11,驱替 / 注入 / 储层 / 页岩,412,5902,0.069807
2011-2015,特色细分型,T12,催化剂 / 地层 / 吸附 / 活性,568,5902,0.096239
2016-2020,头部引领型,T01,储层 / 裂缝 / 渗透率 / 应力,1545,9514,0.162392
2016-2020,头部引领型,T02,盆地 / 断层 / 构造 / 岩石,1223,9514,0.128547
2016-2020,头部引领型,T03,孔隙 / 页岩 / 储层 / 孔隙度,1230,9514,0.129283
2016-2020,头部引领型,T04,钻井 / 水力压裂 / 凝胶 / 储层,683,9514,0.071789
2016-2020,头部引领型,T05,颗粒 / 燃烧 / 灰分 / 实验,520,9514,0.054656
2016-2020,头部引领型,T06,催化剂 / 催化 / 构造 / 活性,944,9514,0.099222
2016-2020,头部引领型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,296,9514,0.031112
2016-2020,头部引领型,T08,水合物 / 甲烷 / 聚合物 / 实验,446,9514,0.046878
2016-2020,头部引领型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,809,9514,0.085033
2016-2020,头部引领型,T10,二氧化碳 / 注入 / 采收率 / 稠油,475,9514,0.049926
2016-2020,头部引领型,T11,产品 / 热解 / 收率 / 化合物,449,9514,0.047194
2016-2020,头部引领型,T12,地震 / 频率 / 速度 / 反演,894,9514,0.093967
2016-2020,中坚创新型,T01,储层 / 裂缝 / 渗透率 / 应力,333,3427,0.09717
2016-2020,中坚创新型,T02,盆地 / 断层 / 构造 / 岩石,96,3427,0.028013
2016-2020,中坚创新型,T03,孔隙 / 页岩 / 储层 / 孔隙度,237,3427,0.069157
2016-2020,中坚创新型,T04,钻井 / 水力压裂 / 凝胶 / 储层,60,3427,0.017508
2016-2020,中坚创新型,T05,颗粒 / 燃烧 / 灰分 / 实验,426,3427,0.124307
2016-2020,中坚创新型,T06,催化剂 / 催化 / 构造 / 活性,808,3427,0.235775
2016-2020,中坚创新型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,177,3427,0.051649
2016-2020,中坚创新型,T08,水合物 / 甲烷 / 聚合物 / 实验,251,3427,0.073242
2016-2020,中坚创新型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,99,3427,0.028888
2016-2020,中坚创新型,T10,二氧化碳 / 注入 / 采收率 / 稠油,285,3427,0.083163
2016-2020,中坚创新型,T11,产品 / 热解 / 收率 / 化合物,495,3427,0.144441
2016-2020,中坚创新型,T12,地震 / 频率 / 速度 / 反演,160,3427,0.046688
2016-2020,特色细分型,T01,储层 / 裂缝 / 渗透率 / 应力,833,6269,0.132876
2016-2020,特色细分型,T02,盆地 / 断层 / 构造 / 岩石,839,6269,0.133833
2016-2020,特色细分型,T03,孔隙 / 页岩 / 储层 / 孔隙度,669,6269,0.106716
2016-2020,特色细分型,T04,钻井 / 水力压裂 / 凝胶 / 储层,336,6269,0.053597
2016-2020,特色细分型,T05,颗粒 / 燃烧 / 灰分 / 实验,289,6269,0.0461
2016-2020,特色细分型,T06,催化剂 / 催化 / 构造 / 活性,854,6269,0.136226
2016-2020,特色细分型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,216,6269,0.034455
2016-2020,特色细分型,T08,水合物 / 甲烷 / 聚合物 / 实验,267,6269,0.042591
2016-2020,特色细分型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,687,6269,0.109587
2016-2020,特色细分型,T10,二氧化碳 / 注入 / 采收率 / 稠油,305,6269,0.048652
2016-2020,特色细分型,T11,产品 / 热解 / 收率 / 化合物,362,6269,0.057744
2016-2020,特色细分型,T12,地震 / 频率 / 速度 / 反演,612,6269,0.097623
2021-2025,头部引领型,T01,构造 / 复合材料 / 强度 / 材料,581,10030,0.057926
2021-2025,头部引领型,T02,产品 / 热解 / 收率 / 机理,909,10030,0.090628
2021-2025,头部引领型,T03,页岩 / 孔隙 / 储层 / 岩石,979,10030,0.097607
2021-2025,头部引领型,T04,水合物 / 二氧化碳 / 采收率 / 注入,1625,10030,0.162014
2021-2025,头部引领型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,402,10030,0.04008
2021-2025,头部引领型,T06,储层 / 钻井 / 预测 / 地震,1903,10030,0.189731
2021-2025,头部引领型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,1234,10030,0.123031
2021-2025,头部引领型,T08,盆地 / 断层 / 构造 / 储层,842,10030,0.083948
2021-2025,头部引领型,T09,催化剂 / 催化 / 活性 / 位点,998,10030,0.099501
2021-2025,头部引领型,T10,二氧化碳 / 构造 / 密度 / 稳定性,557,10030,0.055533
2021-2025,中坚创新型,T01,构造 / 复合材料 / 强度 / 材料,522,6046,0.086338
2021-2025,中坚创新型,T02,产品 / 热解 / 收率 / 机理,1088,6046,0.179954
2021-2025,中坚创新型,T03,页岩 / 孔隙 / 储层 / 岩石,214,6046,0.035395
2021-2025,中坚创新型,T04,水合物 / 二氧化碳 / 采收率 / 注入,777,6046,0.128515
2021-2025,中坚创新型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,511,6046,0.084519
2021-2025,中坚创新型,T06,储层 / 钻井 / 预测 / 地震,569,6046,0.094112
2021-2025,中坚创新型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,845,6046,0.139762
2021-2025,中坚创新型,T08,盆地 / 断层 / 构造 / 储层,134,6046,0.022163
2021-2025,中坚创新型,T09,催化剂 / 催化 / 活性 / 位点,708,6046,0.117102
2021-2025,中坚创新型,T10,二氧化碳 / 构造 / 密度 / 稳定性,678,6046,0.11214
2021-2025,特色细分型,T01,构造 / 复合材料 / 强度 / 材料,574,7636,0.07517
2021-2025,特色细分型,T02,产品 / 热解 / 收率 / 机理,908,7636,0.11891
2021-2025,特色细分型,T03,页岩 / 孔隙 / 储层 / 岩石,548,7636,0.071765
2021-2025,特色细分型,T04,水合物 / 二氧化碳 / 采收率 / 注入,964,7636,0.126244
2021-2025,特色细分型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,306,7636,0.040073
2021-2025,特色细分型,T06,储层 / 钻井 / 预测 / 地震,1080,7636,0.141435
2021-2025,特色细分型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,909,7636,0.119041
2021-2025,特色细分型,T08,盆地 / 断层 / 构造 / 储层,698,7636,0.091409
2021-2025,特色细分型,T09,催化剂 / 催化 / 活性 / 位点,877,7636,0.114851
2021-2025,特色细分型,T10,二氧化碳 / 构造 / 密度 / 稳定性,772,7636,0.1011
