机构原始名称,总频次,当前机构译名,当前机构标准名,当前映射方法,当前判定机构类型,当前判定依据,是否通过有效机构过滤,风险说明,建议处理,处理备注
Chevron Tech Ctr,34,奇埃维尔奥恩技术中心,奇埃维尔奥恩技术中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
JARA ENERGY,33,杰阿尔阿能源,杰阿尔阿能源,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Jiangsu Natl Synerget Innovat Ctr Adv Mat SICAM,33,江苏国家斯伊恩埃尔格埃特创新中心先进材料斯伊克阿姆,江苏国家斯伊恩埃尔格埃特创新中心先进材料斯伊克阿姆,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Shenzhen Branch,33,什埃恩兹赫埃恩分院,什埃恩兹赫埃恩分院,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Department of Petroleum Engineering,32,系石油工程,系石油工程,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Agr & Agri Food Canada,31,农业阿格拉伊弗乌德加拿大,农业阿格拉伊弗乌德加拿大,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
China Coal Technol & Engn Grp,31,中国克奥勒技术工程格拉普,中国克奥勒技术工程格拉普,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
GRI,31,格拉伊,格拉伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Nucl Mat Author,31,恩乌克勒材料奥斯奥尔,恩乌克勒材料奥斯奥尔,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Minist Def Russian Federat,30,姆伊恩伊斯特尔伊德埃弗尔乌斯斯亚恩弗埃德埃尔阿特,姆伊恩伊斯特尔伊德埃弗尔乌斯斯亚恩弗埃德埃尔阿特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Minist Emergency Management,30,姆伊恩伊斯特尔伊埃姆埃尔格埃恩克伊姆阿恩阿格埃姆埃恩特,姆伊恩伊斯特尔伊埃姆埃尔格埃恩克伊姆阿恩阿格埃姆埃恩特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
SAIT Polytech,30,斯艾特理工,斯艾特理工,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Yanshan Branch,30,伊阿恩什阿恩分院,伊阿恩什阿恩分院,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Indian Inst Engn Sci & Technol,29,伊恩德亚恩研究所工程科学技术,伊恩德亚恩研究所工程科学技术,低置信自动补译,高校/科研院所,高校科研关键词:研究所,否,当前标准名未通过有效机构名过滤,,
CSTJF,28,克斯特杰弗,克斯特杰弗,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
King Abdulaziz City Sci & Technol,28,克伊恩阿布德乌勒阿兹伊兹克伊特伊科学技术,克伊恩阿布德乌勒阿兹伊兹克伊特伊科学技术,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
UNL CONICET,28,乌恩勒克奥恩伊克埃特,乌恩勒克奥恩伊克埃特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Natl Sci & Technol Dev Agcy,27,国家科学技术德埃维阿格克伊,国家科学技术德埃维阿格克伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Brazilian Ctr Res Energy & Mat CNPEM,26,布拉阿兹伊勒亚恩中心研究能源材料克恩普埃姆,布拉阿兹伊勒亚恩中心研究能源材料克恩普埃姆,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
German Aerosp Ctr,26,格埃尔姆阿恩航空航天中心,格埃尔姆阿恩航空航天中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Spallat Neutron Source Sci Ctr,26,斯普阿勒勒阿特恩埃乌特拉奥恩斯欧尔克埃科学中心,斯普阿勒勒阿特恩埃乌特拉奥恩斯欧尔克埃科学中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Zhejiang Prov Innovat Ctr Adv Text Technol,26,浙江省创新中心先进特埃克斯特技术,浙江省创新中心先进特埃克斯特技术,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
CSIRO Energy Flagship,25,克斯伊尔奥能源弗勒阿格什伊普,克斯伊尔奥能源弗勒阿格什伊普,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Ecole Polytech Montreal,25,埃克奥勒埃理工姆奥恩特拉伊勒,埃克奥勒埃理工姆奥恩特拉伊勒,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
JARA Energy,25,杰阿尔阿能源,杰阿尔阿能源,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Minist Ecol & Environm Peoples Republ China,25,姆伊恩伊斯特尔伊生态环境普埃奥普勒埃斯尔埃普乌布勒中国,姆伊恩伊斯特尔伊生态环境普埃奥普勒埃斯尔埃普乌布勒中国,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Basque Res & Technol Alliance BRTA,24,布阿斯库埃研究技术阿勒勒亚恩克埃布拉特阿,布阿斯库埃研究技术阿勒勒亚恩克埃布拉特阿,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Coinnovat Ctr Chem & Chem Engn Tianjin,24,克欧伊恩恩奥维阿特中心化工化工工程天津,克欧伊恩恩奥维阿特中心化工化工工程天津,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Ecole Technol Super,24,埃克奥勒埃技术斯乌普埃尔,埃克奥勒埃技术斯乌普埃尔,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
IMDEA Energy,24,伊姆德伊能源,伊姆德伊能源,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Natl Energy Shale Gas R&D Expt Ctr,24,国家能源什阿勒埃天然气尔德埃克斯普特中心,国家能源什阿勒埃天然气尔德埃克斯普特中心,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Oil & Gas Survey,24,石油天然气斯乌尔维伊,石油天然气斯乌尔维伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Politecn Bari,24,理工布阿尔伊,理工布阿尔伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
CAF,23,克阿弗,克阿弗,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Consejo Nacl Invest Cient & Tecn CONICET,23,克奥恩斯埃杰奥国家伊恩维埃斯特克耶恩特特埃克恩克奥恩伊克埃特,克奥恩斯埃杰奥国家伊恩维埃斯特克耶恩特特埃克恩克奥恩伊克埃特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Ctr High Pressure Sci & Technol Adv Res,23,中心赫伊格普拉埃斯斯乌尔埃科学技术先进研究,中心赫伊格普拉埃斯斯乌尔埃科学技术先进研究,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Ecole Natl Super Chim Rennes,23,埃克奥勒埃国家斯乌普埃尔奇伊姆雷恩,埃克奥勒埃国家斯乌普埃尔奇伊姆雷恩,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Japan Atom Energy Agcy,23,日本原子能能源阿格克伊,日本原子能能源阿格克伊,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Minist Sci & Educ Republ Azerbaijan,23,姆伊恩伊斯特尔伊科学教育尔埃普乌布勒阿塞拜疆,姆伊恩伊斯特尔伊科学教育尔埃普乌布勒阿塞拜疆,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Minist Def Russia,22,姆伊恩伊斯特尔伊德埃弗尔乌斯斯亚,姆伊恩伊斯特尔伊德埃弗尔乌斯斯亚,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
SK Innovat,22,斯克创新,斯克创新,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Petro Bio Oil Consulting,21,普埃特拉奥布约石油咨询,普埃特拉奥布约石油咨询,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Qingdao Ctr Resource Chem & New Mat,21,青岛中心资源化工恩埃瓦材料,青岛中心资源化工恩埃瓦材料,低置信自动补译,其他,未命中规则,是,当前标准名未能稳定命中机构类型规则,,
Shengli Branch,21,什埃恩勒伊分院,什埃恩勒伊分院,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
BGP,20,布格普,布格普,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
BIST,20,布伊斯特,布伊斯特,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
BTG Biomass Technol Grp BV,20,布特格布约姆阿斯斯技术格拉普布维,布特格布约姆阿斯斯技术格拉普布维,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
CSIRO Mat Sci & Engn,20,克斯伊尔奥材料科学工程,克斯伊尔奥材料科学工程,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Fdn Res & Technol Hellas,20,基金会研究技术赫埃勒勒阿斯,基金会研究技术赫埃勒勒阿斯,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
GE Global Res,20,格埃格勒奥布阿勒研究,格埃格勒奥布阿勒研究,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Inst Chem & Engn Sci,20,研究所化工与工程科学,研究所化工&工程科学,低置信自动补译,高校/科研院所,高校科研关键词:研究所,否,当前标准名未通过有效机构名过滤,,
MOE,20,姆奥埃,姆奥埃,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
Nexen Energy ULC,20,恩埃克斯埃恩能源乌勒克,恩埃克斯埃恩能源乌勒克,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
State Ocean Adm,20,国家海洋阿德姆,国家海洋阿德姆,低置信自动补译,其他,未命中规则,否,当前标准名未能稳定命中机构类型规则；当前标准名未通过有效机构名过滤,,
