TOPSIS综合排名,标准化机构名称,主属国家/地区,TOPSIS综合得分,科研产出子得分,学术影响子得分,合作与国际化子得分,主导优势维度,去重论文总数,H指数,高被引论文占比,国际合作论文占比
1,中国科学院,中国,0.794589,0.834981,0.751176,0.637929,科研产出,12356,113,0.1294,0.1811
2,中国石油大学（北京）,中国,0.756583,0.752953,0.398676,0.439736,科研产出,13000,78,0.0556,0.1122
3,中国石油化工股份有限公司,中国,0.557167,0.459813,0.275744,0.202625,科研产出,8655,63,0.0364,0.0307
4,中国石油天然气股份有限公司,中国,0.544627,0.477825,0.561726,0.393803,学术影响,8056,96,0.0855,0.0627
5,西南石油大学,中国,0.384789,0.364053,0.227388,0.373689,合作与国际化,5785,54,0.0361,0.0771
6,中国科学院大学,中国,0.348287,0.450757,0.458181,0.59162,合作与国际化,4752,70,0.1006,0.1492
7,中国石油大学（华东）,中国,0.333751,0.372965,0.24618,0.437121,合作与国际化,4868,54,0.0444,0.1321
8,清华大学,中国,0.323389,0.384208,0.633413,0.426023,学术影响,4192,85,0.1429,0.2364
9,天津大学,中国,0.300642,0.380139,0.522568,0.396067,学术影响,4010,76,0.115,0.19
10,浙江大学,中国,0.295664,0.367733,0.520441,0.403657,学术影响,3882,75,0.1164,0.2197
11,新加坡国立大学,新加坡,0.270281,0.212236,0.792446,0.667021,学术影响,1420,81,0.2225,0.669
12,南洋理工大学,新加坡,0.261355,0.200149,0.553462,0.782729,合作与国际化,936,57,0.1731,0.7671
13,帝国理工学院,英国,0.253925,0.164952,0.571209,0.793858,合作与国际化,1240,63,0.1669,0.6766
14,昆士兰大学,澳大利亚,0.246923,0.175257,0.467972,0.778323,合作与国际化,864,53,0.1447,0.7326
15,中国地质大学,中国,0.246179,0.265645,0.403846,0.607592,合作与国际化,3161,65,0.0883,0.2338
16,华东理工大学,中国,0.245435,0.31698,0.397326,0.245018,学术影响,3397,63,0.0901,0.1593
17,长江大学,中国,0.243647,0.213288,0.094088,0.188909,科研产出,3935,37,0.017,0.0325
18,西安交通大学,中国,0.243426,0.353742,0.511837,0.383336,学术影响,2887,75,0.1126,0.2092
19,蒙纳士大学,澳大利亚,0.241938,0.152217,0.599466,0.727206,合作与国际化,810,60,0.1864,0.6716
20,科廷大学,澳大利亚,0.238159,0.111273,0.610877,0.685584,合作与国际化,899,61,0.1891,0.6518
