演化路径编号,2011-2015主题编号,2011-2015主题标签,2011-2015主题强度,2016-2020主题编号,2016-2020主题标签,2016-2020主题强度,2021-2025主题编号,2021-2025主题标签,2021-2025主题强度
P01,T01,钻井 / 水力压裂 / 地层 / 水平,0.106498,,,,,,
P02,T02,沉积 / 水合物 / 储层 / 地层,0.052139,T08,储层 / 沉积 / 砂岩 / 砂体,0.074952,T07,储层 / 地震 / 模拟 / 裂缝,0.129324
P03,T03,油田 / 钻井 / 地层 / 储层,0.139426,,,,,,
P04,T04,地震 / 频率 / 速度 / 模拟,0.076662,T02,裂缝 / 地震 / 应力 / 速度,0.119285,T06,钻井 / 裂缝 / 水力压裂 / 应力,0.072412
P05,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,0.040919,T09,颗粒 / 灰分 / 燃烧 / 三角洲,0.032731,T04,燃烧 / 氨 / 火焰 / 颗粒,0.047207
P06,T06,储层 / 页岩 / 页岩气 / 勘探,0.048063,T04,页岩 / 有机质 / 盆地 / 样品,0.058049,,,
P07,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,0.164934,T03,催化剂 / 产品 / 构造 / 催化,0.202826,T11,催化剂 / 催化 / 活性 / 二氧化碳,0.125833
P08,T08,储层 / 渗透率 / 孔隙 / 孔隙度,0.091157,T01,孔隙 / 二氧化碳 / 储层 / 页岩,0.084684,T02,孔隙 / 页岩 / 储层 / 渗透率,0.087273
P09,T09,盆地 / 构造 / 断层 / 地层,0.117627,T07,盆地 / 断层 / 构造 / 区带,0.084026,T05,盆地 / 储层 / 断层 / 构造,0.100275
P10,T10,装置 / 催化剂 / 汽油 / 产品,0.050948,T05,水合物 / 甲烷 / 沥青质 / 液相,0.1383,T09,水合物 / 二氧化碳 / 甲烷 / 储存,0.04804
P11,T11,注入 / 驱替 / 采收率 / 聚合物,0.078723,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,0.081186,T01,构造 / 离子 / 材料 / 稳定性,0.142326
P12,T12,裂缝 / 储层 / 砂体 / 预测,0.032904,T06,储层 / 注入 / 钻井 / 渗透率,0.123961,T10,二氧化碳 / 储层 / 采收率 / 注入,0.084775
P13,,,,,,,T03,吸附 / 官能团 / 构造 / 降解,0.07491
P14,,,,,,,T08,热解 / 产品 / 收率 / 生物质,0.087625
