左阶段,左主题编号,右阶段,右主题编号,主题相似度,纳入演化路径
2011-2015,T01,2016-2020,T05,0.538451,1
2011-2015,T02,2016-2020,T03,0.709231,1
2011-2015,T03,2016-2020,T09,0.17499,0
2011-2015,T04,2016-2020,T04,0.712599,1
2011-2015,T05,2016-2020,T06,0.756114,1
2011-2015,T06,2016-2020,T08,0.694978,1
2011-2015,T07,2016-2020,T11,0.096854,0
2011-2015,T08,2016-2020,T01,0.751702,1
2011-2015,T09,2016-2020,T02,0.850419,1
2011-2015,T10,2016-2020,T07,0.330329,1
2011-2015,T11,2016-2020,T10,0.586333,1
2016-2020,T01,2021-2025,T06,0.783602,1
2016-2020,T02,2021-2025,T08,0.902364,1
2016-2020,T03,2021-2025,T03,0.882688,1
2016-2020,T04,2021-2025,T01,0.331759,1
2016-2020,T05,2021-2025,T05,0.560886,1
2016-2020,T06,2021-2025,T09,0.882248,1
2016-2020,T07,2021-2025,T11,0.199187,0
2016-2020,T08,2021-2025,T04,0.839797,1
2016-2020,T09,2021-2025,T07,0.235958,1
2016-2020,T10,2021-2025,T10,0.504254,1
2016-2020,T11,2021-2025,T02,0.879189,1
